date,calendar,heuristic,ml_model
2024-07-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-31,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-02,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-11,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-08-30,OCCUPIED,OCCUPIED,OCCUPIED
2024-08-31,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-03,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-04,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-05,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-06,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-07,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-08,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-09,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-11,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-09-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
